rank,atom_id,classification,dispatchable_atom,no_op_status,pair_index,tile_id,source_action_id,action_id,transform,mean_weighted_combined_equal_share,mean_weighted_pose_equal_share,mean_weighted_seg_equal_share,component_positive_votes,pose_toxic_votes,pose_positive_votes,seg_positive_votes,worst_pose_delta_vs_c102
105,pair104_tile083_src017_act013_amp_shift_-2,pose_toxic,False,changes_c102_action_stream_if_built,104,83,17,13,amp_shift_-2,-4.326144221128962e-06,-9.352957397221846e-07,-3.390848481406777e-06,0,1,0,0,-9.352957397221846e-07
106,pair177_tile086_src023_act023_identity,pose_toxic,False,changes_c102_action_stream_if_built,177,86,23,23,identity,-4.6281815358319325e-06,-3.896257847118724e-07,-4.238555751120059e-06,0,2,0,0,-6.894926115764554e-07
107,pair046_tile108_src084_act084_identity,pose_toxic,False,changes_c102_action_stream_if_built,46,108,84,84,identity,-4.825960278845587e-06,-4.825960278845587e-06,0.0,0,1,0,0,-4.825960278845587e-06
108,pair046_tile108_src086_act084_amp_shift_-2,pose_toxic,False,changes_c102_action_stream_if_built,46,108,86,84,amp_shift_-2,-4.826827871430088e-06,-4.826827871430088e-06,0.0,0,1,0,0,-4.826827871430088e-06
109,pair495_tile089_src061_act061_identity,pose_toxic,False,changes_c102_action_stream_if_built,495,89,61,61,identity,-5.015010496839396e-06,-6.710434737542785e-06,1.6954242407033886e-06,0,2,0,2,-9.53659219300012e-06
110,pair198_tile107_src031_act031_identity,pose_toxic,False,changes_c102_action_stream_if_built,198,107,31,31,identity,-6.14136627488444e-06,-2.7505274947544863e-06,-3.3908387801299538e-06,0,1,0,0,-2.7505274947544863e-06
111,pair211_tile110_src008_act008_identity,pose_toxic,False,changes_c102_action_stream_if_built,211,110,8,8,identity,-6.266426967835047e-06,-2.8755881877050936e-06,-3.3908387801299538e-06,0,1,0,0,-2.8755881877050936e-06
112,pair517_tile113_src049_act049_identity,neutral_or_negative,False,changes_c102_action_stream_if_built,517,113,49,49,identity,-6.5620742138112125e-06,1.0673203174387875e-06,-7.62939453125e-06,0,0,1,0,0.0
113,pair482_tile089_src091_act091_identity,pose_toxic,False,changes_c102_action_stream_if_built,482,89,91,91,identity,-7.047359201363156e-06,-6.199647081011469e-06,-8.477121203516874e-07,0,2,0,0,-2.0770022691433384e-05
114,pair577_tile087_src044_act044_identity,pose_toxic,False,changes_c102_action_stream_if_built,577,87,44,44,identity,-7.214240042155806e-06,-8.061947311869088e-06,8.477072697132827e-07,0,2,0,2,-2.7549574016448628e-05
115,pair592_tile086_src032_act032_identity,pose_toxic,False,changes_c102_action_stream_if_built,592,86,32,32,identity,-7.53629625128263e-06,-7.960154736777677e-06,4.2385848549504623e-07,0,2,0,2,-2.7464844826957696e-05
116,pair535_tile088_src104_act100_amp_shift_-2,pose_toxic,False,changes_c102_action_stream_if_built,535,88,104,100,amp_shift_-2,-8.147232632259527e-06,-7.299525362546244e-06,-8.477072697132826e-07,0,1,0,0,-7.299525362546244e-06
117,pair522_tile088_src088_act088_identity,pose_toxic,False,changes_c102_action_stream_if_built,522,88,88,88,identity,-8.505166199810368e-06,-9.070310847137115e-06,5.651446473267464e-07,0,2,0,2,-3.8820302757698887e-05
118,pair522_tile139_src092_act092_identity,pose_toxic,False,changes_c102_action_stream_if_built,522,139,92,92,identity,-8.505166199810368e-06,-9.070310847137115e-06,5.651446473267464e-07,0,2,0,2,-3.8820302757698887e-05
119,pair522_tile140_src080_act080_identity,pose_toxic,False,changes_c102_action_stream_if_built,522,140,80,80,identity,-8.505166199810368e-06,-9.070310847137115e-06,5.651446473267464e-07,0,2,0,2,-3.8820302757698887e-05
120,pair519_tile089_src042_act042_identity,pose_toxic,False,changes_c102_action_stream_if_built,519,89,42,42,identity,-9.1631701358416e-06,-2.381492575581692e-06,-6.7816775602599075e-06,0,1,0,0,-2.381492575581692e-06
121,pair519_tile089_src044_act040_amp_shift_-2,pose_toxic,False,changes_c102_action_stream_if_built,519,89,44,40,amp_shift_-2,-9.213425117566835e-06,-2.431747557306928e-06,-6.7816775602599075e-06,0,1,0,0,-2.431747557306928e-06
122,pair152_tile086_src007_act003_amp_shift_-2,pose_toxic,False,changes_c102_action_stream_if_built,152,86,7,3,amp_shift_-2,-1.291745725919989e-05,-1.2069740288209784e-05,-8.47716970990106e-07,0,1,0,0,-1.2069740288209784e-05
123,pair590_tile086_src095_act095_identity,pose_toxic,False,changes_c102_action_stream_if_built,590,86,95,95,identity,-1.3613292278352708e-05,-1.1070160767936035e-05,-2.543131510416671e-06,0,2,0,0,-1.862217970915167e-05
124,pair156_tile086_src019_act019_identity,pose_toxic,False,changes_c102_action_stream_if_built,156,86,19,19,identity,-2.1588195734938942e-05,-1.7349639983818896e-05,-4.238555751120046e-06,0,1,0,0,-1.7349639983818896e-05
125,pair156_tile086_src021_act017_amp_shift_-2,pose_toxic,False,changes_c102_action_stream_if_built,156,86,21,17,amp_shift_-2,-2.3975897277907628e-05,-1.8041917286084193e-05,-5.933979991823435e-06,0,1,0,0,-1.8041917286084193e-05
126,pair034_tile109_src006_act006_identity,pose_toxic,False,changes_c102_action_stream_if_built,34,109,6,6,identity,-2.5935778711876003e-05,-2.6783485981589285e-05,8.477072697132827e-07,0,2,0,2,-4.282972409774898e-05
127,pair514_tile088_src025_act025_identity,pose_toxic,False,changes_c102_action_stream_if_built,514,88,25,25,identity,-3.0633014266290145e-05,-2.9785303762817925e-05,-8.477105034722192e-07,0,2,0,0,-0.00010468063570698733
128,pair514_tile089_src088_act088_identity,pose_toxic,False,changes_c102_action_stream_if_built,514,89,88,88,identity,-3.0633014266290145e-05,-2.9785303762817925e-05,-8.477105034722192e-07,0,2,0,0,-0.00010468063570698733
129,pair514_tile099_src061_act061_identity,pose_toxic,False,changes_c102_action_stream_if_built,514,99,61,61,identity,-3.0633014266290145e-05,-2.9785303762817925e-05,-8.477105034722192e-07,0,2,0,0,-0.00010468063570698733
130,pair105_tile099_src094_act094_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,105,99,94,94,identity,5.398985427635635e-06,4.6572415666365125e-06,7.417438609991223e-07,5,0,5,3,0.0
131,pair163_tile086_src020_act020_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,163,86,20,20,identity,4.668720878847371e-06,4.668720878847371e-06,0.0,2,0,2,0,0.0
132,pair142_tile086_src038_act038_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,142,86,38,38,identity,4.460511426599012e-06,4.460511426599012e-06,0.0,1,1,1,0,-2.5385493941112135e-07
133,pair159_tile086_src106_act106_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,159,86,106,106,identity,4.284819831603455e-06,4.284819831603455e-06,0.0,3,0,3,0,0.0
134,pair347_tile098_src011_act011_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,347,98,11,11,identity,3.931505278443912e-06,3.083798008730628e-06,8.477072697132827e-07,3,0,3,3,0.0
135,pair544_tile088_src041_act041_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,544,88,41,41,identity,3.8834260466205395e-06,3.035718776907257e-06,8.477072697132826e-07,1,0,1,1,0.0
136,pair138_tile088_src056_act056_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,138,88,56,56,identity,3.839608619686316e-06,3.839608619686316e-06,0.0,2,0,2,0,0.0
137,pair439_tile089_src107_act107_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,439,89,107,107,identity,3.3240161484425523e-06,3.3240161484425523e-06,0.0,2,0,2,0,0.0
138,pair444_tile089_src021_act021_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,444,89,21,21,identity,3.099354279677917e-06,3.099354279677917e-06,0.0,2,0,2,0,0.0
139,pair119_tile086_src044_act044_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,119,86,44,44,identity,2.788005155176304e-06,2.788005155176304e-06,0.0,3,1,3,0,-3.774651888321435e-07
140,pair166_tile086_src006_act006_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,166,86,6,6,identity,2.2939986071677995e-06,2.2939986071677995e-06,0.0,3,0,3,0,0.0
141,pair531_tile088_src018_act018_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,531,88,18,18,identity,2.283907565405498e-06,3.131624536395605e-06,-8.47716970990106e-07,3,0,3,0,0.0
142,pair522_tile140_src029_act029_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,522,140,29,29,identity,2.2269853596552414e-06,5.315514176750022e-07,1.6954339419802391e-06,2,0,2,2,0.0
143,pair124_tile086_src006_act006_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,124,86,6,6,identity,2.139548991478598e-06,2.139548991478598e-06,0.0,2,0,2,0,0.0
144,pair490_tile089_src071_act071_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,490,89,71,71,identity,2.0529042380146907e-06,2.0529042380146907e-06,0.0,1,1,1,0,-2.495577622730038e-07
145,pair520_tile088_src026_act026_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,520,88,26,26,identity,2.0498667273638436e-06,2.0498667273638436e-06,0.0,2,0,2,0,0.0
146,pair517_tile113_src051_act051_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,517,113,51,51,identity,2.0260056993001976e-06,9.398737871873472e-07,1.0861319121128502e-06,5,0,5,5,0.0
147,pair553_tile087_src047_act047_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,553,87,47,47,identity,1.8153453130277655e-06,9.676380433144831e-07,8.477072697132827e-07,2,0,2,2,0.0
148,pair395_tile088_src090_act090_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,395,88,90,90,identity,1.767583961773643e-06,7.216457170865937e-08,1.6954193900649837e-06,1,0,1,1,0.0
149,pair178_tile095_src101_act101_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,178,95,101,101,identity,1.6843974963066365e-06,1.6843974963066365e-06,0.0,5,0,5,0,0.0
150,pair268_tile088_src038_act038_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,268,88,38,38,identity,1.6283347695990348e-06,7.80627499885752e-07,8.477072697132827e-07,2,0,2,2,0.0
151,pair536_tile088_src054_act054_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,536,88,54,54,identity,1.6033917452009397e-06,1.6033917452009397e-06,0.0,2,0,2,0,0.0
152,pair158_tile086_src090_act090_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,158,86,90,90,identity,1.6009714746378879e-06,1.6009714746378879e-06,0.0,1,1,1,0,-2.8089907398315417e-07
153,pair459_tile087_src067_act067_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,459,87,67,67,identity,1.2563922121551445e-06,4.0868494244186195e-07,8.477072697132827e-07,3,0,3,3,0.0
154,pair516_tile089_src064_act064_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,516,89,64,64,identity,1.2001420960401915e-06,1.2001420960401915e-06,0.0,1,1,1,0,-1.686222303453217e-07
155,pair112_tile085_src075_act075_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,112,85,75,75,identity,1.1904958107948558e-06,1.1904958107948558e-06,0.0,2,0,2,0,0.0
156,pair170_tile086_src092_act092_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,170,86,92,92,identity,1.1731317536329408e-06,1.1731317536329408e-06,0.0,1,1,1,0,-1.2356256576941213e-07
157,pair535_tile088_src104_act104_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,535,88,104,104,identity,1.1557134830612325e-06,1.1557134830612325e-06,0.0,2,0,2,0,0.0
158,pair168_tile086_src089_act089_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,168,86,89,89,identity,1.1266656173242106e-06,1.1266656173242106e-06,0.0,2,0,2,0,0.0
159,pair174_tile086_src095_act095_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,174,86,95,95,identity,1.0985817514072792e-06,7.277055765991078e-07,3.7087617480817133e-07,5,0,5,3,0.0
160,pair416_tile088_src077_act077_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,416,88,77,77,identity,8.734963105045756e-07,2.5779339514483095e-08,8.477169709900925e-07,1,0,1,1,0.0
161,pair054_tile088_src075_act075_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,54,88,75,75,identity,8.618524399510046e-07,8.618524399510046e-07,0.0,2,0,2,0,0.0
162,pair451_tile100_src009_act009_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,451,100,9,9,identity,8.244957934677986e-07,1.672203063181081e-06,-8.477072697132827e-07,2,0,2,0,0.0
163,pair141_tile086_src009_act009_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,141,86,9,9,identity,7.922126419675233e-07,-5.549462774575934e-08,8.477072697132827e-07,3,3,0,3,-6.683273838910481e-08
164,pair191_tile087_src091_act091_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,191,87,91,91,identity,7.523050511433595e-07,7.523050511433595e-07,0.0,2,0,2,0,0.0
165,pair136_tile086_src088_act088_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,136,86,88,88,identity,4.811256844209862e-07,4.811256844209862e-07,0.0,1,1,1,0,-1.2654332479921922e-07
166,pair211_tile110_src010_act010_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,211,110,10,10,identity,4.02903823873566e-07,4.02903823873566e-07,0.0,2,2,2,0,-5.16456629945986e-07
167,pair196_tile113_src015_act015_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,196,113,15,15,identity,3.306417674902434e-07,3.306417674902434e-07,0.0,2,0,2,0,0.0
168,pair566_tile085_src056_act056_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,566,85,56,56,identity,3.2182080435881e-07,3.2182080435881e-07,0.0,1,1,1,0,-9.74386202919113e-08
169,pair126_tile086_src038_act038_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,126,86,38,38,identity,2.4643476787022164e-07,1.0941420375835042e-06,-8.477072697132826e-07,1,0,1,0,0.0
170,pair398_tile088_src080_act080_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,398,88,80,80,identity,2.095702556102966e-07,2.095702556102966e-07,0.0,2,0,2,0,0.0
171,pair470_tile088_src068_act068_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,470,88,68,68,identity,-1.6354888329970977e-07,-1.6354888329970977e-07,0.0,1,1,1,0,-3.0917266229187366e-07
172,pair177_tile086_src015_act015_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,177,86,15,15,identity,-3.533393807389945e-07,-3.533393807389945e-07,0.0,0,1,0,0,-3.533393807389945e-07
173,pair154_tile086_src090_act090_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,154,86,90,90,identity,-4.0864118440368753e-07,4.3906608530959505e-07,-8.477072697132826e-07,0,0,1,0,0.0
174,pair167_tile086_src002_act002_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,167,86,2,2,identity,-5.308604181870938e-07,3.168517021645938e-07,-8.477121203516877e-07,0,0,3,0,0.0
175,pair197_tile090_src093_act093_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,197,90,93,93,identity,-5.705131778065402e-07,-1.4182204475198228e-06,8.477072697132826e-07,0,1,0,1,-1.4182204475198228e-06
176,pair212_tile111_src071_act071_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,212,111,71,71,identity,-6.992153680112101e-07,-6.992153680112101e-07,0.0,0,3,0,0,-7.017194337694744e-07
177,pair598_tile086_src032_act032_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,598,86,32,32,identity,-7.163290402428364e-07,1.3138308010886465e-07,-8.477121203517011e-07,0,0,2,0,0.0
178,pair581_tile088_src083_act083_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,581,88,83,83,identity,-7.66074437651202e-07,-7.66074437651202e-07,0.0,0,1,0,0,-7.66074437651202e-07
179,pair067_tile088_src102_act102_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,67,88,102,102,identity,-8.727792603560055e-07,8.226449803473831e-07,-1.6954242407033886e-06,0,0,2,0,0.0
180,pair226_tile088_src002_act002_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,226,88,2,2,identity,-8.813388429561338e-07,-8.813388429561338e-07,0.0,1,1,1,0,-1.607064135513603e-06
181,pair488_tile089_src043_act043_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,488,89,43,43,identity,-9.165642008528363e-07,-9.165642008528363e-07,0.0,0,2,0,0,-1.3086920936931142e-06
182,pair597_tile086_src092_act092_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,597,86,92,92,identity,-9.523707814380692e-07,-9.523707814380692e-07,0.0,1,1,1,0,-3.447496724189837e-06
183,pair597_tile099_src010_act010_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,597,99,10,10,identity,-9.523707814380692e-07,-9.523707814380692e-07,0.0,1,1,1,0,-3.447496724189837e-06
184,pair502_tile089_src102_act102_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,502,89,102,102,identity,-9.622078315565146e-07,-9.622078315565146e-07,0.0,1,1,1,0,-1.8770058856316452e-06
185,pair151_tile112_src104_act104_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,151,112,104,104,identity,-9.878019585737968e-07,-1.4009468886051426e-07,-8.477072697132826e-07,0,2,0,0,-1.454192600636235e-07
186,pair198_tile107_src033_act033_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,198,107,33,33,identity,-9.94275235631012e-07,-9.94275235631012e-07,0.0,0,3,0,0,-1.0065867627651222e-06
187,pair089_tile084_src007_act007_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,89,84,7,7,identity,-1.1064346478200045e-06,-2.587225274683032e-07,-8.477121203517012e-07,0,3,0,0,-2.5952618603359473e-07
188,pair234_tile111_src057_act057_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,234,111,57,57,identity,-1.1251669999301354e-06,-1.9728839709202414e-06,8.47716970990106e-07,0,1,0,1,-1.9728839709202414e-06
189,pair343_tile089_src022_act022_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,343,89,22,22,identity,-1.1272904429666e-06,-1.1272904429666e-06,0.0,1,1,1,0,-2.0988766023152445e-06
190,pair464_tile088_src093_act093_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,464,88,93,93,identity,-1.1354598518208155e-06,-1.1354598518208155e-06,0.0,1,1,1,0,-2.0712593671963563e-06
191,pair540_tile084_src058_act058_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,540,84,58,58,identity,-1.3187911634025757e-06,-8.949375285459343e-07,-4.2385363485664135e-07,0,1,1,0,-3.591017069588459e-06
192,pair449_tile092_src082_act082_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,449,92,82,82,identity,-1.3636456264863257e-06,-5.159351230141022e-07,-8.477105034722237e-07,2,2,2,0,-3.306754527472625e-06
193,pair542_tile099_src016_act016_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,542,99,16,16,identity,-1.4374112211338568e-06,-1.8612672813097073e-06,4.2385606017585054e-07,0,2,0,2,-9.355107139876799e-06
194,pair227_tile109_src023_act023_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,227,109,23,23,identity,-1.4715413480224327e-06,2.2387319140413248e-07,-1.6954145394265652e-06,0,0,1,0,0.0
195,pair109_tile086_src092_act092_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,109,86,92,92,identity,-1.500459716235613e-06,-1.500459716235613e-06,0.0,1,1,1,0,-2.7796345860719516e-06
196,pair585_tile086_src047_act047_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,585,86,47,47,identity,-1.6485892977992751e-06,-1.6485892977992751e-06,0.0,0,2,0,0,-7.051004153430476e-06
197,pair106_tile083_src064_act064_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,106,83,64,64,identity,-1.6594225882962025e-06,-1.6594225882962025e-06,0.0,0,2,0,0,-1.682302452347159e-06
198,pair515_tile088_src091_act091_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,515,88,91,91,identity,-1.7230403704336152e-06,-1.7230403704336152e-06,0.0,1,1,1,0,-3.1533975016655065e-06
199,pair115_tile086_src094_act094_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,115,86,94,94,identity,-2.0882785771633453e-06,-2.0882785771633453e-06,0.0,1,1,1,0,-3.89697438594349e-06
200,pair071_tile110_src056_act056_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,71,110,56,56,identity,-2.098173539443828e-06,-2.098173539443828e-06,0.0,0,1,0,0,-2.098173539443828e-06
201,pair480_tile089_src018_act018_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,480,89,18,18,identity,-2.1295754449471215e-06,-2.1295754449471215e-06,0.0,1,1,1,0,-3.85468522150148e-06
202,pair551_tile088_src086_act086_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,551,88,86,86,identity,-2.620699233969702e-06,-2.9915711644692633e-06,3.7087193049956113e-07,4,1,4,3,-9.923745259709488e-06
203,pair519_tile089_src094_act094_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,519,89,94,94,identity,-2.705019912985762e-06,-1.4334541577774195e-06,-1.2715657552083424e-06,0,1,1,0,-8.140880252661357e-06
204,pair358_tile088_src081_act081_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,358,88,81,81,identity,-3.3514461461511358e-06,-3.3514461461511358e-06,0.0,1,1,1,0,-6.100512673006579e-06
205,pair360_tile088_src093_act093_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,360,88,93,93,identity,-4.450736375898453e-06,-5.2984436456117354e-06,8.477072697132826e-07,0,1,0,1,-5.2984436456117354e-06
206,pair104_tile083_src017_act017_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,104,83,17,17,identity,-4.634597503803638e-06,-4.9171698274670015e-06,2.8257232366336415e-07,3,3,1,2,-1.2826542011685278e-05
207,pair587_tile087_src094_act094_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,587,87,94,94,identity,-4.781180443960073e-06,-3.085761053895103e-06,-1.6954193900649701e-06,0,1,0,0,-3.085761053895103e-06
208,pair137_tile088_src090_act090_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,137,88,90,90,identity,-4.914032586886135e-06,-4.914032586886135e-06,0.0,0,2,0,0,-4.9173638917931635e-06
209,pair145_tile086_src087_act087_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,145,86,87,87,identity,-5.121551263291957e-06,-5.121551263291957e-06,0.0,1,1,1,0,-9.323685098457754e-06
210,pair046_tile108_src086_act086_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,46,108,86,86,identity,-5.2770292187797704e-06,-4.429321949066489e-06,-8.477072697132826e-07,0,2,0,0,-4.430067439912722e-06
211,pair519_tile089_src044_act044_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,519,89,44,44,identity,-5.773363573274833e-06,-2.3825344944217026e-06,-3.3908290788531303e-06,0,2,0,0,-2.38659359875545e-06
212,pair482_tile088_src066_act066_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,482,88,66,66,identity,-7.047359201363156e-06,-6.199647081011469e-06,-8.477121203516874e-07,0,2,0,0,-2.0770022691433384e-05
213,pair577_tile086_src022_act022_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,577,86,22,22,identity,-7.214240042155806e-06,-8.061947311869088e-06,8.477072697132827e-07,0,2,0,2,-2.7549574016448628e-05
214,pair592_tile088_src015_act015_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,592,88,15,15,identity,-7.53629625128263e-06,-7.960154736777677e-06,4.2385848549504623e-07,0,2,0,2,-2.7464844826957696e-05
215,pair460_tile088_src047_act047_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,460,88,47,47,identity,-7.99097108987729e-06,-7.99097108987729e-06,0.0,1,1,1,0,-1.4427495979497648e-05
216,pair473_tile088_src103_act103_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,473,88,103,103,identity,-8.477238089018482e-06,-8.477238089018482e-06,0.0,1,1,1,0,-1.527473733316122e-05
217,pair497_tile087_src042_act042_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,497,87,42,42,identity,-1.1071321345660867e-05,-1.1071321345660867e-05,0.0,1,1,1,0,-2.0365108280988707e-05
218,pair156_tile086_src021_act021_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,156,86,21,21,identity,-1.424307321576994e-05,-1.424307321576994e-05,0.0,0,2,0,0,-1.4252956943066412e-05
219,pair565_tile087_src014_act014_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,565,87,14,14,identity,-1.731234860115379e-05,-1.731234860115379e-05,0.0,1,1,1,0,-3.118588563277572e-05
220,pair133_tile098_src017_act017_identity,exact_anchor_duplicate_noop,False,exact_anchor_duplicate,133,98,17,17,identity,-1.736594565463362e-05,-1.736594565463362e-05,0.0,1,1,1,0,-3.1872006604611385e-05
